math_score,reading_score,writing_score,placement_score,club_join_date,placement_offer_count
71,78,65,99,2018,1
63,86,71,100,2019,1
71,92,64,76,2021,1
77,95,68,84,2021,1
63,81,70,76,2021,1
64,92,68,89,2020,1
66,75,67,93,2019,1
50,100,68,200,2015,1
60,90,61,87,2021,1
64,89,72,80,2019,1
63,81,62,95,2021,1
66,95,77,90,2020,1
60,88,73,91,2020,1
72,80,69,98,2021,1
60,76,69,82,2020,1
69,83,69,75,2019,1
72,80,20,75,2021,1
90,95,66,85,2002,1
70,89,73,90,2020,1
68,82,75,88,2018,1
74,85,68,92,2021,1
59,70,55,70,2017,1
62,78,60,78,2019,1
65,84,66,84,2020,1
67,87,70,86,2021,1
73,90,72,91,2020,1
61,76,63,79,2018,1
58,72,58,74,2016,1
76,88,74,89,2021,1
80,91,78,94,2022,1
